Input,Actual
Generate a list of 10 bicycle types with their feature.,"Output each line as ""Bicycle: [type], Feature: [description]"". Steps: interpret the instruction, list 10 types and features, and output each on a new line with exact punctuation."
Format a list of 10 boat types with their use.,"Output each line as ""Boat: [type], Use: [description]"". Steps: interpret the instruction, list 10 boat types and uses, and output each entry on a separate line with precise formatting."
Create a list of 10 aircraft types with their range.,"Output each line as ""Aircraft: [type], Range: [value] km"". Steps: interpret the instruction, list 10 aircraft types and ranges, and output each on a new line with exact punctuation."
Generate a list of 10 spacecraft with their mission.,"Output each line as ""Spacecraft: [name], Mission: [description]"". Steps: interpret the instruction, list 10 spacecraft and missions, and output each entry on a separate line with precise formatting."
Format a list of 10 satellites with their purpose.,"Output each line as ""Satellite: [name], Purpose: [description]"". Steps: interpret the instruction, list 10 satellites and purposes, and output each on a new line with exact punctuation."
Create a list of 10 space missions with their year.,"Output each line as ""Mission: [name], Year: [year]"". Steps: interpret the instruction, list 10 missions and years, and output each entry on a separate line with precise formatting."
Generate a list of 10 constellations with their brightest star.,"Output each line as ""Constellation: [name], Star: [star]"". Steps: interpret the instruction, list 10 constellations and brightest stars, and output each on a new line with exact punctuation."
Format a list of 10 stars with their type.,"Output each line as ""Star: [name], Type: [type]"". Steps: interpret the instruction, list 10 stars and types, and output each entry on a separate line with precise formatting."
Create a list of 10 galaxies with their distance from Earth.,"Output each line as ""Galaxy: [name], Distance: [value] million light years"". Steps: interpret the instruction, list 10 galaxies and distances, and output each on a new line with exact punctuation."
Generate a list of 10 telescopes with their location.,"Output each line as ""Telescope: [name], Location: [place]"". Steps: interpret the instruction, list 10 telescopes and locations, and output each entry on a separate line with precise formatting."
Format a list of 10 scientific laws with their field.,"Output each line as ""Law: [name], Field: [science]"". Steps: interpret the instruction, list 10 laws and fields, and output each on a new line with exact punctuation."
Create a list of 10 physics constants with their value.,"Output each line as ""Constant: [name], Value: [number]"". Steps: interpret the instruction, list 10 constants and values, and output each entry on a separate line with precise formatting."
Generate a list of 10 chemistry compounds with their formula.,"Output each line as ""Compound: [name], Formula: [formula]"". Steps: interpret the instruction, list 10 compounds and formulas, and output each on a new line with exact punctuation."
Format a list of 10 biology terms with their definition.,"Output each line as ""Term: [name], Definition: [definition]"". Steps: interpret the instruction, list 10 terms and definitions, and output each entry on a separate line with precise formatting."
Create a list of 10 genetics terms with their explanation.,"Output each line as ""Term: [name], Explanation: [description]"". Steps: interpret the instruction, list 10 terms and explanations, and output each on a new line with exact punctuation."
Generate a list of 10 ecological concepts with their example.,"Output each line as ""Concept: [name], Example: [description]"". Steps: interpret the instruction, list 10 concepts and examples, and output each entry on a separate line with precise formatting."
Format a list of 10 geology terms with their meaning.,"Output each line as ""Term: [name], Meaning: [description]"". Steps: interpret the instruction, list 10 terms and meanings, and output each on a new line with exact punctuation."
